,open,high,low,close,volume,time
1299,319.0300,319.0600,318.8900,319.0300,42467,2020-02-04 13:48:00
1300,319.0674,319.1300,319.0092,319.0320,34667,2020-02-04 13:47:00
1301,318.8900,319.0550,318.8700,319.0550,55412,2020-02-04 13:46:00
1302,318.7600,319.0000,318.7600,318.9000,73154,2020-02-04 13:45:00
1303,318.6900,318.7900,318.6500,318.7805,18902,2020-02-04 13:44:00
1304,318.5699,318.7700,318.5699,318.6800,35562,2020-02-04 13:43:00
1305,318.6000,318.6100,318.4800,318.5700,31049,2020-02-04 13:42:00
1306,318.5900,318.6500,318.4200,318.6100,58387,2020-02-04 13:41:00
1307,318.7750,318.7800,318.5200,318.5900,63601,2020-02-04 13:40:00
1308,318.7450,318.7900,318.7100,318.7750,22695,2020-02-04 13:39:00
1309,318.8100,318.8200,318.6700,318.7201,26567,2020-02-04 13:38:00
1310,318.6899,318.8135,318.6400,318.7802,42117,2020-02-04 13:37:00
1311,318.6500,318.7200,318.6402,318.6903,23555,2020-02-04 13:36:00
1312,318.5600,318.6900,318.5600,318.6400,22731,2020-02-04 13:35:00
1313,318.5400,318.6400,318.5400,318.5699,31609,2020-02-04 13:34:00
1314,318.4600,318.5760,318.4500,318.5500,39099,2020-02-04 13:33:00
1315,318.3350,318.4800,318.2968,318.4700,34877,2020-02-04 13:32:00
1316,318.2900,318.3750,318.2600,318.2800,36937,2020-02-04 13:31:00
1317,318.0900,318.3899,318.0850,318.2900,86044,2020-02-04 13:30:00
1318,317.9600,318.1000,317.9500,318.0800,37786,2020-02-04 13:29:00
1319,317.8817,317.9800,317.8550,317.9600,26601,2020-02-04 13:28:00
1320,318.0000,318.0200,317.8300,317.8700,38752,2020-02-04 13:27:00
1321,318.1200,318.1200,317.9020,317.9900,37677,2020-02-04 13:26:00
1322,318.2164,318.2500,318.1096,318.1200,33740,2020-02-04 13:25:00
1323,318.1400,318.2936,318.0600,318.1700,31963,2020-02-04 13:24:00
1324,317.9800,318.1800,317.9700,318.1400,37729,2020-02-04 13:23:00
1325,318.1300,318.1656,317.9300,317.9800,50019,2020-02-04 13:22:00
1326,318.1500,318.2200,318.0500,318.1300,67189,2020-02-04 13:21:00
1327,318.1602,318.1900,318.0300,318.1239,51933,2020-02-04 13:20:00
1328,318.1716,318.2300,318.0400,318.1700,47792,2020-02-04 13:19:00
1329,318.1650,318.2450,318.1200,318.1700,30965,2020-02-04 13:18:00
1330,318.4300,318.4300,318.1200,318.1800,73180,2020-02-04 13:17:00
1331,318.3800,318.4400,318.3447,318.4350,26557,2020-02-04 13:16:00
1332,318.4675,318.5100,318.3500,318.3650,21374,2020-02-04 13:15:00
1333,318.5600,318.6400,318.4800,318.4800,29519,2020-02-04 13:14:00
1334,318.5300,318.6299,318.4600,318.5600,28540,2020-02-04 13:13:00
1335,318.5000,318.6200,318.5000,318.5450,122144,2020-02-04 13:12:00
1336,318.4600,318.5208,318.4440,318.4929,20529,2020-02-04 13:11:00
1337,318.5400,318.6400,318.4300,318.4450,45527,2020-02-04 13:10:00
1338,318.4500,318.5300,318.4127,318.5220,34463,2020-02-04 13:09:00
1339,318.3350,318.4490,318.3092,318.4000,25697,2020-02-04 13:08:00
1340,318.4100,318.4313,318.2607,318.3350,42197,2020-02-04 13:07:00
1341,318.4150,318.4700,318.2950,318.4500,24790,2020-02-04 13:06:00
1342,318.4300,318.4600,318.3250,318.4200,28376,2020-02-04 13:05:00
1343,318.3750,318.4500,318.3350,318.4060,44108,2020-02-04 13:04:00
1344,318.3400,318.4400,318.3000,318.3850,41189,2020-02-04 13:03:00
1345,318.3341,318.3768,318.2500,318.3500,19214,2020-02-04 13:02:00
1346,318.3600,318.4500,318.2800,318.3400,40679,2020-02-04 13:01:00
1347,318.2700,318.3700,318.0900,318.3500,17485,2020-02-04 13:00:00
1348,318.3900,318.4200,318.2300,318.2500,22100,2020-02-04 12:59:00
1349,318.4800,318.4800,318.3200,318.4200,57433,2020-02-04 12:58:00
1350,318.3868,318.5388,318.3500,318.4600,48538,2020-02-04 12:57:00
1351,318.2200,318.4300,318.2150,318.3812,47791,2020-02-04 12:56:00
1352,318.0900,318.2200,318.0400,318.2050,47774,2020-02-04 12:55:00
1353,317.8500,318.1000,317.8300,318.0980,34157,2020-02-04 12:54:00
1354,317.8000,317.8900,317.7620,317.8500,23647,2020-02-04 12:53:00
1355,317.8500,317.8900,317.7600,317.7900,20290,2020-02-04 12:52:00
1356,317.8600,317.9550,317.8100,317.8200,23836,2020-02-04 12:51:00
1357,317.8079,317.9400,317.7400,317.8200,38897,2020-02-04 12:50:00
1358,317.8500,317.8700,317.7400,317.8100,51152,2020-02-04 12:49:00
1359,318.0700,318.0700,317.6700,317.8400,77128,2020-02-04 12:48:00
1360,318.1450,318.3100,318.0700,318.0700,66209,2020-02-04 12:47:00
1361,317.9600,318.1900,317.9600,318.1300,269755,2020-02-04 12:46:00
1362,317.8213,317.9600,317.8000,317.9499,34493,2020-02-04 12:45:00
1363,317.8155,317.8600,317.7300,317.8100,21788,2020-02-04 12:44:00
1364,317.9100,317.9400,317.7600,317.8200,28170,2020-02-04 12:43:00
1365,317.8800,318.0400,317.8100,317.9200,88310,2020-02-04 12:42:00
1366,317.7800,317.9500,317.7700,317.8500,70539,2020-02-04 12:41:00
1367,317.7999,317.9500,317.7000,317.7800,39029,2020-02-04 12:40:00
1368,317.8799,317.8800,317.7100,317.7726,45834,2020-02-04 12:39:00
1369,317.6800,317.8400,317.6800,317.8400,19936,2020-02-04 12:38:00
1370,317.6600,317.8500,317.6200,317.6600,64958,2020-02-04 12:37:00
1371,317.5420,317.6300,317.4800,317.6300,36737,2020-02-04 12:36:00
1372,317.5700,317.6300,317.4800,317.5400,23690,2020-02-04 12:35:00
1373,317.4200,317.6500,317.4104,317.5550,33809,2020-02-04 12:34:00
1374,317.4700,317.5456,317.3800,317.4286,37440,2020-02-04 12:33:00
1375,317.5400,317.5400,317.3300,317.4550,39752,2020-02-04 12:32:00
1376,317.6500,317.6700,317.4500,317.5000,63738,2020-02-04 12:31:00
1377,317.7600,317.8230,317.6113,317.6350,29016,2020-02-04 12:30:00
1378,317.7550,317.8100,317.6300,317.7800,44259,2020-02-04 12:29:00
