volume,high,time,close,open,low
125618,155.4500,2020-03-09 11:32:00,155.4350,155.1300,155.0500
126419,155.5400,2020-03-09 11:31:00,155.1800,155.5300,155.0500
127502,155.9900,2020-03-09 11:30:00,155.5400,155.5700,155.4101
95784,155.7700,2020-03-09 11:29:00,155.5248,155.5050,155.5000
143866,155.8999,2020-03-09 11:28:00,155.5199,155.8500,155.4500
166202,156.1699,2020-03-09 11:27:00,155.8500,155.9700,155.6200
139819,156.5600,2020-03-09 11:26:00,155.9600,156.5100,155.9000
85075,156.6200,2020-03-09 11:25:00,156.5100,156.2410,156.0700
96604,156.8199,2020-03-09 11:24:00,156.2700,156.6400,156.1400
106744,156.6600,2020-03-09 11:23:00,156.6150,156.3546,156.2500
90049,156.8000,2020-03-09 11:22:00,156.3700,156.5300,156.3200
113296,156.8400,2020-03-09 11:21:00,156.5200,156.5600,156.4400
143251,157.0000,2020-03-09 11:20:00,156.5600,156.6667,156.5600
141786,156.8800,2020-03-09 11:19:00,156.6602,156.6300,156.3400
156512,156.6200,2020-03-09 11:18:00,156.6100,156.2200,156.1200
208918,156.4100,2020-03-09 11:17:00,156.2350,155.6056,155.5900
88008,155.7900,2020-03-09 11:16:00,155.6280,155.5701,155.4020
68406,155.6500,2020-03-09 11:15:00,155.6000,155.4200,155.1700
124731,155.7900,2020-03-09 11:14:00,155.4200,155.6901,155.4100
123100,155.7200,2020-03-09 11:13:00,155.6401,155.0400,154.9500
199825,155.3900,2020-03-09 11:12:00,155.0300,155.3000,155.0200
118365,155.4600,2020-03-09 11:11:00,155.2700,154.7800,154.7200
89776,154.8600,2020-03-09 11:10:00,154.7900,154.4900,154.4100
79135,154.7000,2020-03-09 11:09:00,154.5000,154.3800,154.3100
110688,154.9100,2020-03-09 11:08:00,154.3900,154.7600,154.3800
146591,155.2399,2020-03-09 11:07:00,154.7700,155.1900,154.7000
112560,155.2200,2020-03-09 11:06:00,155.2000,155.0500,154.8201
143272,155.1001,2020-03-09 11:05:00,155.0799,154.8500,154.8100
110466,155.3000,2020-03-09 11:04:00,154.8500,155.2999,154.7100
114120,155.3500,2020-03-09 11:03:00,155.2800,154.7750,154.7200
119667,155.1200,2020-03-09 11:02:00,154.7800,155.1067,154.6900
177368,155.1199,2020-03-09 11:01:00,155.1100,154.4000,154.3800
203606,155.2500,2020-03-09 11:00:00,154.3300,154.9600,153.8500
139016,155.1400,2020-03-09 10:59:00,154.9900,154.5100,154.3700
82586,154.6248,2020-03-09 10:58:00,154.5400,154.6248,154.2500
102432,154.6700,2020-03-09 10:57:00,154.6200,154.5000,154.4400
93023,154.6600,2020-03-09 10:56:00,154.5150,154.3400,154.2600
94105,154.6500,2020-03-09 10:55:00,154.3438,154.5500,154.3300
174666,154.5999,2020-03-09 10:54:00,154.5999,154.1878,154.0900
83455,154.3950,2020-03-09 10:53:00,154.2000,154.2600,154.1300
157884,154.4900,2020-03-09 10:52:00,154.2900,154.1401,153.9500
84687,154.2500,2020-03-09 10:51:00,154.1300,154.1800,154.0000
104198,154.3700,2020-03-09 10:50:00,154.1700,154.1001,154.0200
115016,154.4000,2020-03-09 10:49:00,154.0601,154.3100,154.0600
86684,154.5400,2020-03-09 10:48:00,154.3175,154.3200,154.2400
92629,154.5500,2020-03-09 10:47:00,154.2300,154.1500,154.0300
118496,154.7799,2020-03-09 10:46:00,154.2000,154.5223,154.1000
102812,154.9000,2020-03-09 10:45:00,154.5200,154.4150,154.3800
84947,154.6799,2020-03-09 10:44:00,154.4300,154.6378,154.3700
128735,155.1800,2020-03-09 10:43:00,154.6350,155.0300,154.6000
90061,155.5000,2020-03-09 10:42:00,155.0536,155.0700,155.0300
153059,155.1400,2020-03-09 10:41:00,155.0300,154.9700,154.6900
99258,155.0000,2020-03-09 10:40:00,154.9650,154.6100,154.5000
198637,154.6100,2020-03-09 10:39:00,154.6000,154.4600,154.2100
105801,154.7200,2020-03-09 10:38:00,154.4800,154.3100,154.0100
140803,154.6200,2020-03-09 10:37:00,154.3300,154.5200,154.0600
134492,154.8919,2020-03-09 10:36:00,154.5000,154.8400,154.3700
107046,154.9800,2020-03-09 10:35:00,154.8000,154.9000,154.3700
122808,154.9400,2020-03-09 10:34:00,154.9000,154.1000,153.9500
167701,154.3900,2020-03-09 10:33:00,154.1202,154.0300,153.9200
190004,154.4100,2020-03-09 10:32:00,154.0100,154.0100,154.0000
134642,154.6400,2020-03-09 10:31:00,154.0400,154.3000,153.9700
148449,154.6700,2020-03-09 10:30:00,154.3600,154.3700,154.1601
153384,155.0400,2020-03-09 10:29:00,154.3870,154.8000,154.3500
205766,155.0500,2020-03-09 10:28:00,154.8499,154.5550,154.1900
220949,154.7800,2020-03-09 10:27:00,154.5550,153.7500,153.4804
204058,154.2799,2020-03-09 10:26:00,153.7300,154.1300,153.5000
281310,155.1000,2020-03-09 10:25:00,154.1200,155.0101,153.8300
271848,155.7100,2020-03-09 10:24:00,155.0100,155.5300,155.0000
199374,156.1400,2020-03-09 10:23:00,155.5300,155.9600,155.4300
166859,156.8700,2020-03-09 10:22:00,155.9700,156.6300,155.9100
190297,157.4100,2020-03-09 10:21:00,156.6500,157.2500,156.6500
242433,157.6500,2020-03-09 10:20:00,157.2700,157.4400,157.0300
216177,157.6800,2020-03-09 10:19:00,157.4175,157.1700,157.1700
219022,157.4100,2020-03-09 10:18:00,157.2200,156.9400,156.6100
191453,157.1700,2020-03-09 10:17:00,156.9500,156.9100,156.6400
180624,157.0800,2020-03-09 10:16:00,156.9100,156.3700,156.3600
181277,156.5900,2020-03-09 10:15:00,156.3850,156.5800,156.1600
288291,156.6100,2020-03-09 10:14:00,156.6100,156.0401,156.0401
169528,156.7399,2020-03-09 10:13:00,156.0600,156.4000,155.9100
198919,156.7000,2020-03-09 10:12:00,156.4100,156.6700,155.7500
271407,157.7400,2020-03-09 10:11:00,156.6700,157.4800,156.5100
275524,157.7500,2020-03-09 10:10:00,157.4800,156.8200,156.4500
274548,157.1599,2020-03-09 10:09:00,156.7900,156.5900,156.2101
212531,156.6100,2020-03-09 10:08:00,156.5700,156.2000,155.6100
283010,156.1900,2020-03-09 10:07:00,156.1900,154.6700,154.5900
252830,154.7750,2020-03-09 10:06:00,154.7000,154.0500,154.0200
333645,155.1800,2020-03-09 10:05:00,154.0800,154.9500,154.0011
244155,155.3700,2020-03-09 10:04:00,154.9600,155.2500,154.8000
219889,155.4000,2020-03-09 10:03:00,155.2000,155.0800,154.9300
246999,155.3100,2020-03-09 10:02:00,155.1000,155.1450,154.9300
231687,155.5000,2020-03-09 10:01:00,155.1900,155.1400,154.6400
233461,155.5900,2020-03-09 10:00:00,155.1200,154.9000,154.8400
412069,156.3800,2020-03-09 09:59:00,154.8900,156.1000,154.8600
344285,156.3400,2020-03-09 09:58:00,156.3400,156.2190,156.2190
362455,156.8900,2020-03-09 09:57:00,156.8900,154.3400,154.3400
424936,154.6900,2020-03-09 09:56:00,154.5300,154.6900,154.5300
549305,155.0350,2020-03-09 09:55:00,154.8200,155.0350,154.8200
378641,154.6400,2020-03-09 09:54:00,154.6400,153.4200,153.4200
349936,153.2600,2020-03-09 09:53:00,153.2600,152.5100,152.5100
312475,152.5899,2020-03-09 09:52:00,152.5899,152.4500,152.4500
372424,152.2400,2020-03-09 09:51:00,152.2400,150.5050,150.5050
